LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,+Rostov-on-Don+,09.06.2019,1,Ужас..,"Согласен с проблемой по коэффициентам,делаешь ставку,через пару секунд коэффициент меняется и приходится удалять и заново ставить,но пока так удаляешь и ставишь приём пари вообще заканчивается!!!Долго выводить деньги нужно,третий раз уже жду смс более 2х часов!!!"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Gixxer17,14.11.2019,4,Допилите уже,Когда уже исправите глюк с зависанием избранного?!
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,eHot-rus1988,10.08.2019,1,Обновление коэффициентов,"####ть! Неужели сложно сделать так, чтоб когда выкидывает ошибку, что значение коэффициента сменилось МЕНЯТЬ его АВТОМАТИЧЕСКИ, чтобы не ПРИХОДИЛОСЬ миллиард раз перезагружать приложение и по новой добавлять событие!!!!!!🤬🤬🤬"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,zakrush535,29.11.2019,2,Работа!,Доделайте уже наконец приложение!! Коэффициенты не обновляются по 15 минут и постоянные лаги с платёжными системами в том числе!!!
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Befufreex,11.06.2019,4,Странные изменения,"Ставка стоит на август, после обновления не могу посмотреть ставки дальше текущего дня"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,pedukonelove,13.10.2019,1,Приложуха для попанчиков,"Если ты конченый лох , который готов оставить кеш, то тебе сюда ."
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Керил,10.08.2019,1,😡🤯🤬,"Если коэффициент меняется, в большую или меньшую сторону, то выдаёт ошибку и не даёт поставить. Сам кф оперативно не меняется в приложении. Бесит🤯🤬😡"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,gasan87,31.07.2019,1,Вылетает!!!,Уважаемые разработчики пожалуйста сделайте так чтоб приложение не вылетало это очень важно!!!!
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Yar.sidoroff,15.06.2019,3,Не доволен,"Очень много времени тратится на то, чтобы удалить пари и поставить заново при обновлении коэффициентов, а это безумно неудобно!"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,arsik2281337,10.06.2019,2,😲😲😲,"Вывод от 1000₽ очень неудобно , буду переходить на винлайн"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,pavlushok67,18.09.2017,5,👍,"По мне, так приложение Лиги Ставок одно из лучших, которое есть среди других БК"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,gduhfg,21.05.2019,2,Ужасно,"Мне кажется разработчикам пофиг на нас , главное Кантора бабки получает от людей и всё, нужно приложение усовершенствовать и проблемы возникают при входе , не может найти меня по геолокации , то проблема с избранным , даже писал в тех поддержку , говорят работаем над этим , прошло 2 месяца уже , начинает раздражать всё это."
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Крет89,21.05.2019,4,Говорят вы читаете предложения,"Сравнивать не с чем , но вроде все не плохо"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,viC0097890,21.05.2019,1,Проблема с определением местоположение,С 20 мая 2019 г. Перестало работать приложение! Не удаётся определить местоположение... прошу исправить эту проблему!
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Джааа888,21.05.2019,5,Алло!,"Ответьте, что делать и когда заработает приложение или к другим переходить?"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Misslubashka,07.02.2020,5,👌🏼,👌🏼👌🏼👌🏼
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,werstoff,08.02.2020,1,Жесть,"Просто ужасный софт, вылетает, глючит, тупит"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Rustik51rus,08.02.2020,1,Не очень контора,"Экспресс не поставить, на одном событии меняется кэф и с ставка не принимается"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,limonov86,08.02.2020,1,Автоматическая смена коэффициентов,"По 10 минут невозможно поставить ставку,так как произошла смена кэфоф на серваке,а в приложухи она не меняется!!!Вообщем постоянно будете сталкиваться с проблемой у вас один кэф,а актуальное значение иное."
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Aleksandr Safonov,07.02.2020,1,Приложение - лагающее 💩,"Неужели компания, которая зарабатывает миллионы не может нанять нормальных разработчиков для своего приложения. Постоянные зависания кф из-за которых не принимается ставка, особенно бесит в лайве."
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,denchi1ck,06.02.2020,5,ОТЛИЧНОЕ ПРИЛОЖЕНИЕ,Все очень хорошо !!!!!😃😃😃😃😃😃
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,доброжелатель татарин,06.02.2020,5,Хороший способ заработка,"Хороший коэффициент,быстро вывод дене и много ставок"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,тадат,06.02.2020,3,Доброжелатель,Нет огромного количества событий которые присутствуют в других БК
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,товлвщышшуо,06.02.2020,1,Зависает,Не приходят обещанные деньги
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,саша путрин,06.02.2020,5,Хорошее приложение,Очень хорошо работает всё
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Данил Кузьмин,05.02.2020,5,И,Тбрм
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,s_medik,05.02.2020,1,Руки из одного места у разработчиков,"Как пол года назад удалил приложение, из-за того, что когда ставишь экспресс, каждый второй раз пишет ошибку - смена коэффициентов, и не меняет их. Надоело и удалил."
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Allintertwined,05.02.2020,5,Супер,"Порядочная бк, отличная линия + быстрые выплаты !!!"
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,kornil1988,05.02.2020,1,Ужасная контора,Не дают вывести выигрыш
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,ArchiBalt233,05.02.2020,1,Развод,"Сделал не большую ставку, выиграл, уже вторую неделю жду пока переведут деньги на карту. Три раза уже реквизиты присылал в ЦУПИС, лучше не связывайтесь с этой шарашкой."
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Лакомый 1995Брянск,04.02.2020,5,Евгений,Все замечательно
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Лиза Петрова Ким,03.02.2020,5,Lisa,👍👍
LigaStavok,https://apps.apple.com/ru/app/%D0%BB%D0%B8%D0%B3%D0%B0-%D1%81%D1%82%D0%B0%D0%B2%D0%BE%D0%BA-%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8-%D0%BD%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%82/id1065803457#see-all/reviews,Дмитрий тлт,04.02.2020,1,",,Г,,","Конкретный отстой, с обновлением кф. До нервоза, пишет кф изменился жмёшь «ок» или принять но ничего не меняется. Особенно выводит когда надо быстро сделать ставку но никак! Разработчики ничего не делаю!!! Не первый раз тут оставляю такой отзыв реакции НУЛЬ!!! Им по...! В других конторах в приложениях в этом плане никаких проблем! Слетает даже линия игр, просто пустое поле становится!!! Разработчики вы что нибудь делать собираетесь????"
